# time  ID  size  fromHost  toHost  TTL  isResponse
382800.0000 M319 100000000 cambridge-Host13 cambridge-Host42 n/a N 
384000.0000 M320 100000000 cambridge-Host14 cambridge-Host6 n/a N 
385200.0000 M321 100000000 cambridge-Host21 cambridge-Host51 n/a N 
386400.0000 M322 100000000 cambridge-Host15 cambridge-Host29 n/a N 
387600.0000 M323 100000000 cambridge-Host38 cambridge-Host15 n/a N 
388800.0000 M324 100000000 cambridge-Host7 cambridge-Host18 n/a N 
390000.0000 M325 100000000 cambridge-Host42 cambridge-Host20 n/a N 
391200.0000 M326 100000000 cambridge-Host21 cambridge-Host13 n/a N 
392400.0000 M327 100000000 cambridge-Host25 cambridge-Host23 n/a N 
393600.0000 M328 100000000 cambridge-Host17 cambridge-Host40 n/a N 
394800.0000 M329 100000000 cambridge-Host26 cambridge-Host4 n/a N 
396000.0000 M330 100000000 cambridge-Host15 cambridge-Host31 n/a N 
397200.0000 M331 100000000 cambridge-Host27 cambridge-Host46 n/a N 
398400.0000 M332 100000000 cambridge-Host37 cambridge-Host1 n/a N 
399600.0000 M333 100000000 cambridge-Host35 cambridge-Host17 n/a N 
400800.0000 M334 100000000 cambridge-Host43 cambridge-Host41 n/a N 
402000.0000 M335 100000000 cambridge-Host29 cambridge-Host15 n/a N 
403200.0000 M336 100000000 cambridge-Host38 cambridge-Host40 n/a N 
404400.0000 M337 100000000 cambridge-Host31 cambridge-Host50 n/a N 
405600.0000 M338 100000000 cambridge-Host5 cambridge-Host31 n/a N 
406800.0000 M339 100000000 cambridge-Host1 cambridge-Host48 n/a N 
408000.0000 M340 100000000 cambridge-Host25 cambridge-Host37 n/a N 
409200.0000 M341 100000000 cambridge-Host24 cambridge-Host45 n/a N 
410400.0000 M342 100000000 cambridge-Host28 cambridge-Host26 n/a N 
411600.0000 M343 100000000 cambridge-Host32 cambridge-Host18 n/a N 
412800.0000 M344 100000000 cambridge-Host25 cambridge-Host43 n/a N 
414000.0000 M345 100000000 cambridge-Host2 cambridge-Host47 n/a N 
415200.0000 M346 100000000 cambridge-Host46 cambridge-Host1 n/a N 
416400.0000 M347 100000000 cambridge-Host10 cambridge-Host34 n/a N 
417600.0000 M348 100000000 cambridge-Host2 cambridge-Host11 n/a N 
418800.0000 M349 100000000 cambridge-Host17 cambridge-Host32 n/a N 
420000.0000 M350 100000000 cambridge-Host37 cambridge-Host48 n/a N 
421200.0000 M351 100000000 cambridge-Host43 cambridge-Host5 n/a N 
422400.0000 M352 100000000 cambridge-Host11 cambridge-Host22 n/a N 
423600.0000 M353 100000000 cambridge-Host42 cambridge-Host28 n/a N 
424800.0000 M354 100000000 cambridge-Host30 cambridge-Host44 n/a N 
426000.0000 M355 100000000 cambridge-Host30 cambridge-Host33 n/a N 
427200.0000 M356 100000000 cambridge-Host50 cambridge-Host5 n/a N 
428400.0000 M357 100000000 cambridge-Host12 cambridge-Host22 n/a N 
429600.0000 M358 100000000 cambridge-Host15 cambridge-Host28 n/a N 
430800.0000 M359 100000000 cambridge-Host26 cambridge-Host25 n/a N 
432000.0000 M360 100000000 cambridge-Host0 cambridge-Host48 n/a N 
433200.0000 M361 100000000 cambridge-Host9 cambridge-Host40 n/a N 
434400.0000 M362 100000000 cambridge-Host30 cambridge-Host42 n/a N 
435600.0000 M363 100000000 cambridge-Host27 cambridge-Host0 n/a N 
436800.0000 M364 100000000 cambridge-Host11 cambridge-Host46 n/a N 
438000.0000 M365 100000000 cambridge-Host44 cambridge-Host48 n/a N 
439200.0000 M366 100000000 cambridge-Host26 cambridge-Host14 n/a N 
440400.0000 M367 100000000 cambridge-Host16 cambridge-Host26 n/a N 
441600.0000 M368 100000000 cambridge-Host21 cambridge-Host23 n/a N 
442800.0000 M369 100000000 cambridge-Host10 cambridge-Host40 n/a N 
444000.0000 M370 100000000 cambridge-Host11 cambridge-Host25 n/a N 
445200.0000 M371 100000000 cambridge-Host24 cambridge-Host5 n/a N 
446400.0000 M372 100000000 cambridge-Host48 cambridge-Host42 n/a N 
447600.0000 M373 100000000 cambridge-Host19 cambridge-Host35 n/a N 
448800.0000 M374 100000000 cambridge-Host46 cambridge-Host47 n/a N 
450000.0000 M375 100000000 cambridge-Host18 cambridge-Host36 n/a N 
