# time  created  delivered  delivered/created
298000.0000 298 104 0.3490
299000.0000 299 104 0.3478
300000.0000 300 104 0.3467
301000.0000 301 104 0.3455
302000.0000 302 104 0.3444
303000.0000 303 104 0.3432
304000.0000 304 104 0.3421
305000.0000 305 104 0.3410
306000.0000 306 104 0.3399
307000.0000 307 104 0.3388
308000.0000 308 104 0.3377
309000.0000 309 104 0.3366
310000.0000 310 104 0.3355
311000.0000 311 104 0.3344
312000.0000 312 104 0.3333
313000.0000 313 104 0.3323
314000.0000 314 104 0.3312
315000.0000 315 104 0.3302
316000.0000 316 104 0.3291
317000.0000 317 104 0.3281
318000.0000 318 104 0.3270
319000.0000 319 104 0.3260
320000.0000 320 104 0.3250
321000.0000 321 104 0.3240
322000.0000 322 104 0.3230
323000.0000 323 104 0.3220
324000.0000 324 104 0.3210
325000.0000 325 104 0.3200
326000.0000 326 104 0.3190
327000.0000 327 104 0.3180
328000.0000 328 104 0.3171
329000.0000 329 104 0.3161
330000.0000 330 104 0.3152
331000.0000 331 104 0.3142
332000.0000 332 104 0.3133
333000.0000 333 104 0.3123
334000.0000 334 104 0.3114
335000.0000 335 104 0.3104
336000.0000 336 104 0.3095
337000.0000 337 104 0.3086
337179.0000 337 105 0.3116
337183.0000 337 106 0.3145
337187.0000 337 107 0.3175
337191.0000 337 108 0.3205
337195.0000 337 109 0.3234
337199.0000 337 110 0.3264
337203.0000 337 111 0.3294
337207.0000 337 112 0.3323
337207.0000 337 113 0.3353
337211.0000 337 114 0.3383
337215.0000 337 115 0.3412
337219.0000 337 116 0.3442
337223.0000 337 117 0.3472
337227.0000 337 118 0.3501
337232.0000 337 119 0.3531
337236.0000 337 120 0.3561
337240.0000 337 121 0.3591
337244.0000 337 122 0.3620
338000.0000 338 122 0.3609
338227.0000 338 123 0.3639
338901.0000 338 124 0.3669
338906.0000 338 125 0.3698
339000.0000 339 125 0.3687
339027.0000 339 126 0.3717
339067.0000 339 127 0.3746
339071.0000 339 128 0.3776
339087.0000 339 129 0.3805
